date,session,phase,task,ai_tool,action,output_files,lines_of_code,human_review,status
2026-03-21,1,Phase 2,1.1 NCBI Genome Mining,Claude (Cowork),"Queried NCBI Datasets API v2 for all Coleoptera (taxid 7041) and Neuropterida (Raphidioptera 50482, Megaloptera 50553, Neuroptera 7516) genome assemblies. Paginated through 971 Coleoptera + 150 Neuropterida records.",data/genomes/genome_catalog.csv,~200 (Python),"Heath reviewed schema, approved fields and outgroup selection",Complete
2026-03-21,1,Phase 2,1.2 Taxonomy Assignment,Claude (Cowork),"Batch-queried NCBI Taxonomy (efetch) for 560 Coleoptera + 127 Neuropterida tax IDs. Extracted family, superfamily, suborder, order lineage for each species. Merged into genome catalog.",data/genomes/genome_catalog.csv (taxonomy columns),~100 (Python),Automated - standard NCBI taxonomy,Complete
2026-03-21,2,Phase 2,1.3 Catalog Cleanup & Dedup,Claude (Cowork),"Identified and removed 22 GCA/GCF mirror pairs. Scored assemblies (assembly level, scaffold N50, RefSeq status, annotation). Selected best genome per species (687 primary selections from 1,121 raw assemblies).","data/genomes/genome_catalog_primary.csv, genome_catalog_scored.csv; results/phase2_genome_inventory/catalog_cleanup_report.txt",~150 (Python),Pending - Heath to review primary selections,Complete
2026-03-21,2,Phase 2,1.5 Download Infrastructure,Claude (Cowork),Generated SLURM array job (439-task array with 20-job throttle) and standalone bash download script. Created accession list and download manifest. Scripts use NCBI datasets CLI with curl fallback.,"scripts/phase2/download_genomes.slurm, download_genomes.sh, accessions_to_download.txt; results/phase2_genome_inventory/download_manifest.csv",~120 (SLURM + bash),Pending - student to execute on Grace,Complete
2026-03-21,2,Phase 2,1.5 Restriction Audit,Claude (Cowork),Audited all 687 primary genomes for data use restrictions. Classified by risk level (LOW/MEDIUM/HIGH). All primary selections are LOW risk (published/RefSeq). Full catalog has 284 EBP/DToL genomes flagged for verification if needed later.,"results/phase2_genome_inventory/restriction_audit.csv, restriction_audit_report.txt, restriction_audit_full_catalog.csv",~100 (Python),Automated risk classification; student verification only if adding non-primary genomes,Complete
2026-03-21,2,Phase 2,1.6 Constraint Tree,Claude (Cowork),Built constraint phylogeny for 439 quality-approved genomes (422 Coleoptera + 17 Neuropterida). Used McKenna et al. (2019) backbone topology for Coleoptera. Family-level polytomies within 6 major Polyphaga infraorders. Rooted on Neuropterida. Validated with ete3.,"data/genomes/constraint_tree.nwk, tree_tip_mapping.csv; results/phase2_genome_inventory/tree_summary.txt",~250 (Python + ete3),Pending - Heath to validate topology (especially family placements),Complete
2026-03-21,2,Phase 2,1.7 QC Report & Figures,Claude (Cowork),"Generated 5 publication-quality supplementary figures (PDF, 300 dpi): family representation barplot, assembly quality metrics (4-panel), suborder quality, genome size vs N50 scatter, restriction/annotation overview. Generated 2-page QC report PDF with summary statistics and family table.",manuscript/figures/Fig_S1-S5 (5 PDFs); results/phase2_genome_inventory/genome_inventory_qc_report.pdf + 5 figure PDFs,~300 (Python matplotlib),Pending - Heath to review figures for manuscript suitability,Complete
2026-03-21,2,Project Management,Task Board & PostIt Revamp,Claude (Cowork),"Rewrote postit_guide.md with difficulty/time color coding (GREEN/YELLOW/ORANGE/RED/PURPLE). Created interactive HTML task board (task_board.html) with drag-and-drop. Updated context.md with all new scripts, outputs, and project status.","project_management/postit_guide.md, task_board.html; context.md","~1,200 (markdown + HTML/CSS/JS)",Heath reviewed and edited postit_guide.md,Complete
2026-03-21,2,Phase 2,R Script Templates,Claude (Cowork),"Wrote 6 production-ready R scripts (3,050 lines total): clean_catalog.R, build_constraint_tree.R, catalog_qc_report.R, catalog_summary_figures.R, generate_downloads.R, check_restrictions.R. All operate on actual genome_catalog.csv, use base R only.","phases/phase2_genome_inventory/ (6 R scripts across PHASE_1.3, 1.5, 1.6, 1.7 folders)","3,050 (R)",Pending - code review before student execution,Complete
2026-03-21,3,Project Management,Task Board Status Update,Claude (Cowork),"Updated task_board.html to reflect completed work. Tasks 1.1, 1.2, 1.3, 1.5, 1.6, 1.7 moved from 'todo' to 'done' status. Created progress_tracking.md with full project status.","project_management/task_board.html (updated), project_management/progress_tracking.md",~20 (HTML edits + markdown),N/A (status tracking),Complete
